('9187302b-91f6-45f5-91db-f408e2ff43ae', 53.8249945, 22.3619798, 'Poland', 'Olsztyn', '19-305', 'Street', 'Mallory', 30, 57),
('6bed4794-03a4-47f6-893b-9d59a76b93ef', 52.1412597, 20.8418962, 'Poland', '£ódŸ', '05-806', 'Street', 'Blaine', 66, 10),
('23b47d36-73c0-4169-8e55-0ceabcc98849', 49.689425, 21.9126813, 'Poland', 'Opole', '36-213', 'Junction', 'Corben', 4, 45),
('c9bff59d-5a9d-4166-a06d-3305648ff09f', 49.94912, 18.4033, 'Poland', 'Toruñ', '58-111', 'Junction', 'Ronald Regan', 48, 32),
('fa15b632-1f43-4d71-8fdf-1842ccaaa7b3', 51.1146113, 17.649817, 'Poland', 'Lublin', '46-113', 'Junction', 'Kingsford', 79, 30),
('99cf69f6-e065-4cbb-89ac-2505630fdfa9', 51.7565958, 20.9183286, 'Poland', 'Poznañ', '24-340', 'Point', 'Mockingbird', 5, 28),
('af15f38c-64a8-41b0-900a-0bc1cca0d531', 49.7826756, 22.7781773, 'Poland', 'Bia³ystok', '37-720', 'Lane', 'Melody', 12, 52),
('bd9f81cb-7035-4940-9b82-31009abd2b90', 54.3202047, 19.5273042, 'Poland', 'Katowice', '82-340', 'Park', 'Bluestem', 15, 27),
('af218f79-7a8f-4a17-8d5a-a4d1c07d261b', 49.7524226, 20.1868688, 'Poland', 'Opole', '34-625', 'Circle', 'Judy', 53, 5),
('a82bbaa7-0dfb-47a4-a82f-c70653356797', 50.3095461, 17.5223977, 'Poland', 'Wroc³aw', '02-913', 'Trail', 'Elmside', 15, 13),
('9a5aa9cf-c616-4fe6-a363-79dce55b2c3b', 50.1327056, 18.1543922, 'Poland', 'Poznañ', '47-411', 'Park', 'Novick', 58, 41),
('423cd66e-5b14-435d-850c-f9c95ce677c1', 50.3068281, 22.5169584, 'Poland', 'Kielce', '37-303', 'Point', 'Macpherson', 59, 24),
('3713d633-4e28-432d-9a94-7ff284175005', 52.2680883, 22.5839609, 'Poland', 'Warszawa', '08-109', 'Terrace', 'Graceland', 41, 28),
('4426e4de-7696-4139-bd2e-3d68e4d6b473', 50.6227967, 16.4623415, 'Poland', 'Poznañ', '95-016', 'Street', 'Waxwing', 48, 59),
('ab5bdb3a-96e1-48ca-ab5f-a4ad8300b655', 49.7722369, 20.506072, 'Poland', 'Bydgoszcz', '38-411', 'Trail', 'Alpine', 68, 46),
('5e772216-9f15-4585-9743-eac30316f271', 53.1844724, 18.6045572, 'Poland', 'Katowice', '87-140', 'Crossing', 'Service', 25, 26),
('e9c2be17-1b76-40ea-b7c2-2f11dcf85fdc', 53.3983079, 20.9461113, 'Poland', 'Wroc³aw', '12-160', 'Street', 'Twin Pines', 51, 4),
('2d503346-1883-47df-a6a5-b733fab679ae', 50.1661085, 22.2214748, 'Poland', 'Szczecin', '37-111', 'Crossing', 'Leroy', 2, 23),
('a6d3f7cf-4acc-4a43-ba03-27136a393ba8', 51.1610189, 17.9045829, 'Poland', '£ódŸ', '63-630', 'Lane', 'Hagan', 56, 17),
('4887fe44-477a-4485-8307-f0e7fc0e46b1', 51.5406095, 14.759662, 'Poland', 'Gdañsk', '68-208', 'Drive', 'Novick', 62, 51),
('1ce0a940-6cb9-4fd8-b0a4-046674591a28', 51.8978017, 19.9416859, 'Poland', 'Opole', '96-127', 'Pass', 'Florence', 32, 24),
('1b550452-2e68-476b-9bae-95806e471851', 49.494604, 19.7094323, 'Poland', 'Katowice', '34-480', 'Parkway', 'Mariners Cove', 40, 15),
('c376ddb5-d344-4ebb-b0e1-02a4c2774f5b', 51.8846508, 17.0729206, 'Poland', 'Kraków', '63-820', 'Hill', 'Sundown', 57, 14),
('62c1fbc6-4d33-4c33-a5b4-13431c032492', 50.62508, 19.3633201, 'Poland', 'Katowice', '42-310', 'Circle', 'Schlimgen', 12, 39),
('143568f9-6b4b-443f-9115-0ce6ba8b783f', 50.0374431, 20.888073, 'Poland', 'Gdañsk', '33-122', 'Place', 'Florence', 28, 14),
('9756ec78-bd31-44d2-97ee-90d31f955655', 51.9857896, 21.1921379, 'Poland', 'Kraków', '05-850', 'Place', 'Maryland', 80, 60),
('5a5dfb26-9ef3-4f8b-9631-d8a248390d01', 51.5144022, 21.1235461, 'Poland', 'Kraków', '26-660', 'Place', 'Main', 11, 52),
('a44291c8-7186-441a-88d9-924c838401c9', 50.643436, 21.888524, 'Poland', 'Toruñ', '39-410', 'Street', 'Sherman', 34, 32),
('e90ca9e6-9f34-4955-9596-29d1ea59cf3b', 50.9614392, 21.2804169, 'Poland', 'Szczecin', '27-415', 'Hill', 'Ridgeway', 67, 12),
('c12865e7-42e3-43f3-a4a8-3375ad11fe09', 52.3956594, 19.1739321, 'Poland', 'Gdañsk', '93-524', 'Crossing', 'Dayton', 25, 20),
('e6c07d5b-eeb6-4554-8f87-23e74b428829', 53.14292, 22.98815, 'Poland', 'Sosnowiec', '16-070', 'Circle', 'Oak', 73, 36),
('8c1aa886-30fb-482f-aaad-ad222f1a404b', 52.2681666, 20.4632209, 'Poland', 'Warszawa', '05-085', 'Drive', '2nd', 25, 40),
('f5dbf076-82ba-4fec-b3a2-3183e1aa6e8c', 53.0226508, 20.4361149, 'Poland', 'Bydgoszcz', '06-561', 'Trail', 'Garrison', 23, 5),
('59f6e560-f42f-4650-86f4-b6ee291ddb19', 50.5609123, 18.943124, 'Poland', 'Opole', '42-660', 'Avenue', '5th', 3, 1),
('d5984518-2ec6-4c50-b579-9d428e99cd28', 51.5429846, 21.0004876, 'Poland', 'Poznañ', '26-806', 'Crossing', 'Montana', 22, 4),
('3ae4db73-9738-4c6a-a07f-f51e4c47725b', 52.142598, 20.7175048, 'Poland', 'Katowice', '05-840', 'Drive', 'Rieder', 64, 48),
('1e733026-1e29-4da7-b3a9-58f40236a60f', 50.5504728, 20.0561066, 'Poland', 'Bydgoszcz', '28-340', 'Junction', 'Golf Course', 44, 10),
('89c7585e-4e51-4f5d-b252-d8ecb32d7e0c', 52.6235765, 14.6349097, 'Poland', 'Kielce', '66-470', 'Park', 'Pine View', 16, 47),
('9c0ca4b1-bc42-407b-8ac0-1097e3c5de12', 49.6617223, 22.1053444, 'Poland', 'Szczecin', '36-207', 'Alley', 'Moulton', 25, 12),
('15d2f4cb-0f32-4e40-94fa-ecbd0c589a11', 52.182599, 20.5627943, 'Poland', 'Kraków', '05-870', 'Plaza', 'Farragut', 18, 46),
('0ea410a3-307b-4c3c-991b-449a03c2048f', 50.009103, 22.8837844, 'Poland', 'Bia³ystok', '37-543', 'Drive', 'Nevada', 11, 46),
('17c14928-7ead-4bc2-b4cd-fc2239c6a72a', 50.002337, 22.6516099, 'Poland', 'Katowice', '37-565', 'Way', 'Thierer', 72, 20),
