('7eca2cdf-74fd-40c0-8962-b5590543b2f1', '3762c92b-5def-457e-b27b-c7a7b20f67db', '690b0702-63dc-49f9-ba23-c6945c9a652e', 'f9cf0475-58b3-4fa4-98cd-af34b10d71dd'),
('fb524e46-f6c0-458f-83d2-0c54ce228bff', '83df1916-6981-4fbd-b629-aa69b102e27b', '342d39b0-f570-4101-9e6d-1a27151b60ad', '74d3ac1c-8213-4561-b640-06744625bd54'),
('a636b521-7ff8-4032-8cf9-3b14d622d3ba', 'd54e636a-77a8-4b5b-a380-c7f60e7f992c', '812f94c1-8da9-4ffa-91c3-a7dc4c78343a', 'c89c112f-76dc-43c3-a2ad-f3cbce9387b7'),
('919fd414-8c2b-4b08-a8bf-f2061c83df0d', '192d57f9-d1a1-4b71-bcc2-d4df94726ef8', 'c05739ce-1eb6-4ef8-98af-572beaf06880', 'cfdbc305-7a1f-4e53-a66c-c7bd828509a6'),
('ca466660-11ed-42f6-8fe6-1a44982b7b6f', '540cdc24-7776-4e4b-abfe-998335a5f873', '0b57de5e-0596-489d-8f26-d9df13822275', '761981ae-b983-4568-bb27-f4bc69d77df7'),
('1de777b6-f781-4bee-a137-b3519bee922c', '4de6bb9a-e60d-4e05-91a8-0e77006f8333', '601ac3d6-87cb-45b9-b7a6-c62ca18f200e', '66507c12-1566-4bba-a327-f9b3a7af1c2a'),
('ad2e45e9-5ab0-4c0d-8905-987025a83633', '892934ce-1d9e-4524-b1a6-3c38a3304251', 'ca5a881f-b32f-4dd0-8ab6-d8945ad2975b', 'bdb833fe-2345-4525-a483-9ce8094273de'),
('49c24da1-fb49-446c-a4bb-a6662d9e7bc0', 'd6535cba-b50a-4908-8dbd-f5e47d16492b', '363ef0c6-fd30-4113-aa45-a39c7d9f34ca', 'a3141d9a-8001-478c-8ad3-d5768c250857'),
('d5b97fd7-9fe5-4bb8-a8ae-d642f3ae614d', '0f142042-c288-4a79-94ca-701faac2e9dd', '78cb58e1-4791-4657-8cb1-1e35f741b37e', '67e989f0-a5bb-4a1b-bbd7-b3e96f3b8b46'),
('26f1089f-36ec-48f3-92a1-f62904a073c0', 'b7596404-0dcc-451a-b27f-3ee227effc80', '1526924b-5160-4a65-8062-a169e77ac332', 'fc41e970-6b3a-4f72-89e2-1c2be800c202'),
('ca081610-84b5-453f-9da7-b18fb772c3e6', '3f59753a-9879-460e-8020-f4fff19a0fd7', '4a84aa69-2455-4024-b4cc-102a3e46aab9', '0b71bf29-75b4-4632-a5b2-ad55f9a4ea0c'),
('2cfb0e49-c6e6-40be-bf95-182973ce1eb0', 'd24dcdd0-5085-47e8-a16f-e64b8f7fd0ef', '816565b7-10bc-430e-bb90-9df3c373d63e', 'afa4f18f-ad69-473f-a21d-18e403867d55'),
('6f4cb524-8033-43db-8d20-eee96162955f', '173a9213-607d-41d5-9fd0-bb38034dea03', '80a6175b-4760-431e-8d4f-cd7dcd92e31b', '84f8946d-a348-4264-bdb6-bee06adf8ac9'),
('6c8924d9-b2a2-4131-a53d-443d5c1b96be', '2d8fa848-7b25-47e5-9f02-260f04f6ba6b', '508625e1-cbe7-47ee-98b3-1b9acb87b7ee', 'b4631207-3f56-47d1-8218-0d2669c86000'),
('fa11cfa8-34f8-4866-9bd0-5e2c67167d93', '485733d0-cf1e-48d5-bc68-1f7ee238d610', '1a8aabec-6852-4825-a325-2de3ffc847ee', '83767673-8570-4d90-a6d8-63d0e20e28ca'),
('4af2be4e-6704-411c-ab12-6c4a2296687d', '359ad90c-d8a2-4b4c-8967-9f271f5f93a5', 'ff70b211-1732-4888-b7bf-511d91a316f9', '127eec8d-dbef-4a6d-aba0-5aa5d53e3f83'),
('6f051734-7999-4e33-9609-51f2fa2197b9', '31872dce-c5ac-4e1b-991e-315d59ec438a', '20b1f250-5466-49de-ae80-566a47c2e485', 'ed13a62d-f39c-403a-86df-5c904fc5c241'),
('69d88a07-ec6a-4617-97e5-5ee82016f36e', '48425f10-f298-4b19-96de-566ddfa423ea', '12f3f87f-00dd-4e54-bef3-54f0ce436aef', '286343bd-2a50-4962-a7c5-b210f97c30e7'),
('7d1eb946-4aa6-4054-ba42-cdc8b3ec8b14', '1409cf50-00f2-40f3-a4d8-7fa4dcd68cdb', 'def48be0-e7a6-4e5e-91fc-7d350573b100', 'a7ad3c49-fbee-4d91-ac73-37741a1b325e'),
('6247b800-6a81-4bb8-9874-93695e782c76', '8cbf5fc5-b639-400a-a06f-7b97182b878d', 'dea00ff3-9a9e-47d6-a350-c9403c8a0758', '5c3f754b-3cf7-4ca5-b586-8ba7b2acae53'),
('3f33c7ab-622f-479e-a218-de39e81b5440', '9279bfae-187c-4929-bbc8-818d0dd4dd00', '0bfc2de8-b142-457e-862b-4e1e81608b4b', '7e68699e-92fe-4bf0-a7b6-e6bbf3a91862'),
('fec4b31f-bbff-4e10-aac5-e73da20c6b48', '3d57c9b5-1cb3-4eed-909e-b73870b426d3', '1a5d57d2-0c6c-4a4a-98ce-711028de3260', '9368dece-47b6-4734-9aab-fc72ff4f011e'),
('2983024e-c32b-4552-98cd-0961edc2b411', '1021dcd6-7bcf-4ecf-86dc-0890401c7c43', '6c82eccd-26eb-43ee-b13a-052cecc05f76', 'd41e2f47-0427-4100-ac09-8b4e8c0620b6'),
('dbe9e494-adb4-45b1-93fa-bc39b056fcc6', '4b825151-2049-4d44-98dc-d44955512eb4', 'fd334155-05c7-489f-b0fb-d41369e9e717', '9f193c10-4dc5-4c72-98d8-c563102dea93'),
('0cf03cb0-b3e8-4fca-8a37-6c005aea7099', '2141ba33-3d26-4ec7-a326-46104f0123c0', '1667c928-a192-4e4a-a464-5107e82f1ad2', '2ecca794-a7dc-41ed-b011-a8cd0ff4af1a'),
('88932c32-1c8b-4955-b1ec-da14c2dd1509', 'eb839fbf-e56e-4984-9199-5b7774809868', 'b1b5e34d-d5c9-4c6f-8b5c-6d4e4bbf76b1', '0c312712-f8b8-49a8-9fa6-40c8c925ccc8'),
('d8505011-d040-4cd1-b5e8-b1fcdaeca73e', '5e15afa2-d103-45be-84e6-62688d2bf2b6', 'a1dfc205-74e9-456f-9d60-95872568de55', '845e8d86-e0a0-4040-a721-48abcaedd346'),
('441ad91a-8938-4c3b-8c97-046476fec198', '2139db73-adf4-4865-9a54-11361ee6a847', '620ea6d2-fb54-4ac7-b6d2-890edce00eea', 'fb36a2af-e966-468b-93be-ef9be0f9e0e2'),
('c76dd4db-51ef-4073-b597-dab2144f1bdb', '0ccc18cd-a738-4593-a682-7f0dc3d0f741', 'b15bd494-2f08-4178-a170-d657b91b6bd2', '8c421c6d-c28d-4f08-b6e6-b73e7776f3a9'),
('8e17be58-dbe5-477e-a5fa-a752f16e035b', '0beaa6dc-ae68-42d1-ae7c-ba000a171524', 'f6499a7f-1d29-4ea5-a351-87a1f705d951', '312698ef-2705-4c58-a17e-e63a5149e236'),
('ed4fd600-ee67-490b-b082-b10011b49965', 'f4ccc92f-2c84-4aa7-be34-0341f5ff0d99', '24de9d61-a211-42ee-966d-344728d10e55', 'd0cccd1c-b2f9-4769-8cc8-b6444cc18b32'),
('24ce8ae5-58ac-4d51-8a59-5d16c5fd709f', '2e820a5d-ec7a-4baa-bce0-39801853750f', '2eda7581-9cf0-48a1-ad85-fc07a1e473a8', '61722c11-07c3-4b33-9fcd-cbb21be3903c'),
('e20d72e5-932a-4389-8161-f19295a43403', '578035ae-2ab5-466e-a5c6-283d5ec1dd59', '8e8b2053-d1be-47ef-bc09-47281bbdaec0', 'c5af4edc-bee2-4322-beaf-6edb15aff774'),
('ddc59de5-9ff1-4aa6-9c4e-dc063c882510', 'c8ede63b-5b84-4d4d-b003-cf60a8f324ca', '9f03d82a-04bf-4728-9995-11429620534e', 'ef80167b-2dce-47c1-954d-62a9d42040e0'),
('060295fc-6672-4336-9311-12a76ebec3f6', 'f946aba5-c9d0-4ba4-9f22-624d3e100420', '1ea7ab0d-5557-43b4-854d-f03e4283c360', 'f42eb066-f362-489f-ad7b-88232f42f5d8'),
('e1c695bf-1011-4cbc-8c6c-67b9291b2d99', 'c51ead13-da89-4b8a-9c26-2e8e224bbb38', '770d852e-f9d3-4fc4-a5f7-882f7ee769db', '1d336e5e-736d-464c-ba7a-6faac6baea5f'),
('36490563-0120-49b3-ac71-a6b63d84c1f5', '9820d54a-1a94-40fa-bef9-65f113b3aca5', '6994e17d-f7d6-4ee4-b9d5-d0962085d388', '107ccba1-ab48-4b8b-9b30-20b5ae2c8c34'),
('5497b68c-e4cc-4480-be34-6170786b7a73', 'caa371ab-7b43-4790-9cf4-581402f587a4', 'a0887010-08d6-4756-b903-03025d9cc55c', 'd37050cf-c576-400c-a80f-5fe27dc5445b'),
('2bbe2373-ff39-48a6-88a1-d5282b0ceaf3', 'd8924825-0363-4b51-a3b6-09d894e24b87', 'b88c6e37-f1a8-4d69-b44b-77056bb5bd46', '707c9bd5-0183-47b7-b647-5b522e572e1d'),
('1be8cd90-3ccf-4160-beb2-c1c3398c7e4f', 'c75f00d2-7374-435f-a319-8ba346887041', '310bec8c-0549-4448-a8ce-f1f905ed39a1', '16cf288f-d439-476f-a01a-0fd063e51481'),
('b8f29ec0-f1db-4baa-8410-8054635d34a1', '451efbb0-b463-4756-b20d-9ecdc35ff74b', '25d2dee3-60f9-462b-a704-01d604bacec2', 'cf802ed6-71fd-48f7-a88e-8f0ec05e9ad3'),
('d1d64f66-5740-4449-9fd9-5047df606423', '07907476-a1c1-4229-ae3e-579d41fe56c8', '78eb8644-e86e-4a78-b3e3-27a026ceef6a', '072e0cad-cdb9-47cd-800a-35be388a22cc'),
('cf490d56-25f4-4611-a058-315fc6561527', '4bb9e82c-edbc-4cfa-9aa6-64b2b1f69e6d', '0442151f-9cab-49d6-a4a2-f58b9dd9c9ae', '267960ba-bfb1-4cf7-8636-533f787784fb'),
('99f71aac-a9a6-4251-82c9-487c3b996f1d', '09b38267-2414-42b5-9c21-4b86225752ed', '0e931eab-34b9-4c85-a707-d0ec58504f7d', '9bd462a9-a735-4653-8488-65f2bd1777a2'),
('6c589087-3639-4794-827d-032a56ac1957', 'dd691040-dc1d-4d09-9417-83be8515050e', '64d48bef-3feb-4286-bc58-74bc27740cf8', '8a814543-a5f4-4c9c-b7d3-a003c77a137b'),
('bbea511b-1f3c-4434-bef6-c3d4d6151b27', '1527f529-23ba-443d-85a0-fe5fb7633538', '8e8f955c-b321-4979-8020-b634c4b44ea5', '087995a0-669f-4b2b-ba27-028af8360618'),
('8998f8d1-f729-4f14-ba7f-22785913f747', '2d8ac73c-e27b-4a0e-8105-250a6cbeadf7', '765042f7-3241-49aa-b76e-eb842bd29762', '19d8e6fb-3c9e-4792-91d7-83f4fac25ad8'),
('f7429af3-ab0c-4f32-b456-8f4273897bae', 'f2137c0a-cbdb-42a2-ba82-454dd0354013', '40caaf3c-dac8-4658-889d-5956b8f7e651', 'fed74174-5cd7-4fbd-929a-dc2002de885b'),
('7cad2da9-4822-4964-a34d-9a4a6d22f2e1', 'bd94f9cd-4a31-49ec-a18b-1340357984eb', '0619a8fb-24f0-4322-9920-7ae4a1d3ffe1', 'e54db49f-3e25-4c58-a239-95596e21540f'),
('63780ec5-34bc-447b-a764-67623e846abe', 'e77d5d65-0626-49e3-9d35-7fd7e43c30fc', '9fa632c6-c826-47d0-a05a-db242801ef60', '034e808c-005f-456e-97c1-e163c5a12161'),
('8ff499d4-9a7f-4ac1-abad-ca2ca8c99552', '094b3abf-c77f-4370-9e34-4fe6077486c8', '43bf3221-d6cf-459a-b589-df6007644d53', 'd709c7e7-7dff-4293-bcd9-e4b2e37f0111'),
('8e36b9d7-8782-4e0e-8114-2bac14fb4f6c', '5f3e0e1e-d7e8-48bc-a99b-21f55a4ba23d', 'c3e76820-691c-41bf-b67c-c839be951ee6', 'dd75c970-8959-4c24-9d7b-e1fb6154800c'),
('774676b0-7ee8-4c7b-a62f-49d4b207515e', '17bb58ac-877a-4884-be94-895d52d677c3', 'bf5b3ee9-ced7-43b5-9b4c-b5d08c602a52', 'bac413d1-66c9-4986-b69e-e4cb1e90f719'),
('36a211c3-f7d6-45b3-a884-b1a4850ae345', '4b134dca-a8f2-4994-b7a1-0f529f00e0ce', 'fe2e39c5-f31e-4c71-ac5f-5da712879af0', 'cb53d2d1-07ed-41d0-84c1-b86d36a7e9a5'),
('6df6ba80-7bed-424d-83d9-7c992f22ada7', 'd8865819-fa0b-43df-8dfa-8cfda54a431c', '6de4ab79-f208-42cf-86d6-bf2a6861fd61', 'd4d10073-e7f3-4b2c-a703-01edd49855a0'),
('1a6d6913-3d84-4a3d-a133-09934235672c', 'cd0046b5-3332-4c44-a2fa-f8c2a24a39dc', '4d98ba4b-ce3b-425a-9713-e7ae94c565d9', '4437a6e6-d8ed-434a-bf1b-2eb9c431f911'),
('f1f445fc-a984-4812-b6e8-50a7758ea7d6', '9f9df3b0-af88-4eef-ae3b-44a00394a695', 'f248f24d-b574-43b5-9af3-4ea7a5f6908c', '2876b408-2272-4036-9e2d-db63994f0d16'),
('d1d3ed80-c151-4153-aada-a194b05383a1', 'eb304024-0a36-4f2c-88e0-2607c49cb8ca', '0d50164e-ea11-400d-8094-2fdeb412f484', '5156c798-1eb8-4548-a44d-794f23f9d620'),
('5dc983c9-c61c-4c39-b248-515f67fb5c5d', '76126ec7-6278-4e56-821b-3ecf26943799', '656d1097-d102-48e2-9dc6-3cb629021e3f', '5275c9b9-6689-4131-91dd-419bf7e53266'),
('2fb0c908-adc3-4999-87ff-d07d466d0b32', 'f546b2c6-e2ac-461d-87ca-98287de2a8e4', '2d2748b8-6aa9-4e2a-9c04-b7730a7ad225', '6929bd41-32b0-49da-8b5f-7edbcc24c1be'),
('f7fd0147-5b04-4f22-aa86-84c9201793eb', '5a787691-a704-41f3-ac54-a5a125cbbbbf', '88694b31-0a4f-4e41-92da-141b954e9141', '2ebaabfe-fcfb-4a3d-b31f-e77a1dfa41eb'),
('d6763998-285b-4af5-8d83-0d9401a3d148', '6b40b4f3-0733-4213-8975-e71b06fd51dc', 'fcc8152c-4243-4de4-8006-8b6cc23515d7', '46fb5386-e0fe-4457-b9bc-f3a83cfc85de'),
('54022f95-859b-4d5a-810f-7d241ff7369f', 'eebcf60a-483a-4450-b140-a60667240173', 'ee322cb3-72b7-48ed-a5a2-522e01d7a724', '7c1fc634-cf6e-43da-864c-e1e4395fef77'),
('2e868d67-47fd-42d4-94e2-f971d57caa32', '5a81e5b0-c8c2-45c4-9cb1-0cd91965a620', '91cf853c-426a-4ba0-8a3f-2a70d27490f9', '3dd887ce-76fe-4ea0-8d12-306888dbf90b'),
('09cdd834-e9da-469d-9307-b998b7bf7418', 'fc1306ab-f76d-4452-b8fa-ee32ace808f1', '52ee9d7f-e15c-48a1-af48-247f292759f9', 'a6e3eabf-9b01-4aae-9df0-d75a2d2ec918'),
('4370474c-c645-4bd7-a0bb-b74063ad8001', 'b25e88e7-a19c-495d-a10a-6fabd39c0533', 'd4bee07c-1c05-4a9e-89bb-3de4ac9d83a2', '617b2fd5-bc51-48fa-ae52-5db3cb8dc6b0'),
('07f2c350-edf9-4f79-97ab-acf5a1f844de', '04512357-82c3-4355-aacd-1e832ef3fc33', '0b9fe888-824a-44f5-b2c8-479cf71c8f8a', 'ef713019-2545-42bd-b818-a5189ebdbaf2'),
('8a8a1a7e-7293-495e-8f21-896f2ec4219d', 'f5ca0870-fb82-4859-9a9d-889725296df5', '64cf8024-b0b0-44df-95a3-70167520c185', 'f17ac2a1-c31b-446e-9bfc-bdc86fae931f'),
('e407460a-9e0f-475e-b65c-6728e827d83b', '5f42a5ba-012f-4f47-a149-dc8dc536433a', 'a0c7f4d9-a9a9-4db4-92ae-94f4c32cf132', 'ce015aa9-1c0d-4c02-87a0-a820f5dce281'),
('f52e2c28-68bd-4e0d-8b3f-b22b9b852069', 'd31a24a1-b7ef-467a-b475-77db9db01a9c', 'd3e9f45f-a6e4-479b-9432-08500defc75b', 'f7e3cd38-c1e4-469f-b74d-b531118e10c9'),
('1808b856-f622-4cd7-895f-6e344766f5f1', '9020eba5-4c6f-4e75-bbea-3863b1068b0d', 'f5e9026c-539e-44c7-8c2c-2430237ec1ae', '71ddfa92-89f7-412f-89b7-a4bb13c0fe1a'),
('4b24a2d3-fe98-4134-aca3-2cc1e485214c', '02de0aa5-8985-431b-981f-2dc7f237bfae', '4b4049ac-240d-4776-93d8-f9f9c55e092a', '88d90d63-a0a3-43bc-a551-6c55c939df94'),
('9659c0b6-3ddd-4a02-b0f2-486c22431d3d', '37e31421-76f4-4160-8bfa-3df901c7fc0a', 'c392fe76-8f1b-4a64-8d0c-8cdf062c3a3c', 'cb2381a5-73d7-48c5-aa35-cf1ef3d29384'),
('afd5ffd0-eb77-4aa8-9343-0e52564ef2eb', 'e08eb33e-3c98-4799-ade8-64a6c6b9f71f', 'a6543f29-2acc-4eb3-a1de-6ad920a999b9', '6ee9123f-e989-4d0f-944e-6225be4797fe'),
('484b2142-966e-44b3-b9e8-eca1ec402bd6', 'b50bba9b-c899-4ade-9d23-973fce27889d', 'ac28bfc1-e217-4d1e-b580-f8b589c54007', '6f41212d-564d-48a0-8b25-28e5b0123675'),
('c8e7474c-491e-4080-9b57-cbe783824aa0', 'd8d00c92-bcc2-427f-9ad5-2b5b7fb00844', '155342e2-20ca-4aa4-9765-5273b63a85b4', '15a48f37-492d-490d-8283-c08b59478ee7'),
('926f17f6-0a1e-4a05-b973-9a94118f851d', '0eed75fd-e871-4168-a71c-fff040602546', '2c72ebc9-dc85-4e98-bb79-50b3bcce1c72', '501b03d6-ea14-4a61-8989-c05ac67748ba'),
('0262d7e9-6989-4498-9670-d513f9346f05', '887a322d-f5f2-4233-a301-4cb2cf13d964', '00494189-e62a-4649-9773-c61dcb3248c3', 'f9e84ae4-405e-4087-95e1-783f8ad3bec3'),
('17ecd55d-0992-4e95-a2e8-c9ac23de88d3', 'b05b68ec-c3ab-462e-a402-be6931763170', '6a901dc6-c195-49d3-a277-2edf204108a6', '7d4f0629-3a90-46dc-9a22-44196c05dc94'),
('54196dd9-6836-4359-a807-b38c0e68c2d3', '606b5d89-44a7-47ba-a7eb-19a2df449e6c', 'cd35849c-7131-46a4-965f-9c7add1fd255', 'fd5a074f-f915-4cc6-bb4a-5de6439637a8'),
('659c54aa-0d8a-498b-b1b6-851cd2b4c31e', 'd24cdf97-1780-4024-8484-566bfb2f2965', '18e0a996-f44a-4c90-a873-8de5fd3c1b54', 'b7d9788d-d395-4ad5-a4fa-7dda61414abe'),
('162044f9-b428-4f57-bc92-92f79742a145', '54a1f48c-b7cd-45ed-97b5-b7c6ba3c8fc3', 'a53ce011-ce21-42e1-ad21-922e53a801d0', '78e41751-dc0c-4668-a83f-403c5e1a7d19'),
('522381bd-8a9d-4093-a97b-29c5ba6851b6', '12beec85-31f6-45f2-b782-acf2dd956aad', '1cc66008-d8ec-462b-aabd-bb83b026988e', '47611913-4754-4a75-9f7f-9db93cdc7ccd'),
('48d1e569-ac59-4fb4-9f4b-c552288b0822', '2d4f9d84-c3d4-486a-adc1-b9d3c4392a77', '42c37cf0-0353-431f-9b1c-ba8cf4492df2', '9f98dde3-e3a6-411c-bc93-35db9d61cef1'),
('608a1086-b076-4a39-8d89-16d8bdebca24', '06a14f57-d2e8-42b6-b903-ab26a6ef055a', '6d4c4ef8-c274-4c1e-a3d2-fad5c9fc58b9', '22ce38ae-fdda-4d5d-b5a1-94c4a6941b76'),
('dd660158-7478-4f6e-b52d-e3af7c180c15', '7d7dad58-8e65-41b4-bdf0-ead971344406', 'abb05366-8743-4584-a584-4ee99e303987', 'f3149473-1900-424e-8c28-fe582c543fdc'),
('a40ebcfb-2ecf-44f8-a32c-46d72a2a6c0e', '4690047e-766a-45cd-82ed-087d139c4c24', 'e701272c-fa06-48a7-877c-e74b1eb6d7cb', 'ecfe5944-8a94-4f8a-9de3-c260b7f0277b'),
('df8607a5-3715-4417-87cd-07b768de0dda', 'cd669a90-e49b-480b-ae57-1db7f03b071c', '19bbd6aa-9f48-4d04-905f-9fc9f3b672c4', '612ad698-8dee-4fe7-843b-c2c86da5ce65'),
('6fed423f-4cd1-4a74-aa50-a9e1026dbcbe', '3633db1f-43b8-4159-b46e-c78901b1d4c8', '05a3fe4d-c03b-427d-9c13-99ad3f0ae011', 'feae3208-7f19-4887-ac2e-9b4e4d7bc198'),
('e3e961b4-f2ca-4e99-8fa9-3b306118e9b0', '90497918-35b0-45f2-82a3-8b451ce03b41', '422d651d-61e6-4be2-8920-5d4e71c3df43', '9783fff1-d738-42a1-a760-7cf4a45b0bcd'),
('300bdf9d-2f69-49c7-a5c1-fd0b0a6c97cb', '2c8c53aa-309e-48db-acca-34de352523a2', 'a60c6fb0-e1dd-4fb8-9f3a-fb255f6c2806', '9410b02b-ee5c-44d1-b684-33330f678514'),
('d0252a47-9eba-4f92-8fd9-64e95df17efc', '7b3ab3f6-116e-4f51-a6ba-8cd433a5e5c9', '39763f65-a42b-4cc5-8595-e8593fc23190', '19dba1f8-7cbe-4ab2-8e2e-f76cb8b80209'),
('c4583eca-b0bb-4377-b2a7-f4c9c253dc7f', '8d881f2a-0d07-464d-9970-4a4ae9cec129', '4dd6332f-01dd-44ac-882c-a07fba854948', '28e865c3-6c9c-4500-9c89-1bfc98a98178'),
('8922e290-4cb9-41ba-8088-ac2f797712e8', '3ea7507b-d52d-4360-bea9-ae6394d651dd', 'f8cae80e-2a4a-490f-b4d9-9da2269a71d7', 'b3ced60f-2fa8-4380-bdb1-7c562a9f6727'),
('1acc9beb-55e9-44bd-b9c5-68ff8ff77b1e', '9be47580-16a3-430f-b190-208c1b3b96dc', 'c84cc2f8-0b15-4f47-a4a5-eb975269dc07', '0c249552-fd0c-4233-96e3-317cd6bbc288'),
('1312216f-e5e5-4646-8e1f-68f3af2c8448', '7e08104a-c3b4-46d8-834f-b1d0d29c6817', '7200657a-e2eb-4b43-a882-33f05a52c631', '5216f33a-39ff-434e-9bc7-abcfbe6e0357'),
('403aa506-c409-48a9-8d70-4c0c27b7b37c', '5f365caa-01f9-48f5-8f47-58202b94cccb', 'e4ca8961-e184-49c7-a2c0-533e34b9817c', '7e5c2a40-4523-4567-84d5-040c98defc8f'),
('1b614a1f-1c98-43a3-a354-210e4403173a', 'a0ab9367-87cd-44f9-aece-875a0ed89ec8', '8651f8dc-5209-49d0-bfd4-047d6784dd08', '05528907-6ce4-4a91-96a6-68f6ad05b4c6'),
('ab26233d-ee1e-4fa5-9073-664e391f0ef6', 'f047617c-c0ec-44d6-ac01-d00d33ba8971', '20f291c9-c3a5-4f8f-a53c-ece541e9788d', '0b4af308-2601-41e0-b7e9-2bea45606618'),
('48291c4d-6c76-4c96-800d-58a194795948', 'd21bdc60-3fba-4e9b-8379-daf2a7a09ef2', '73548bce-a66a-4eae-ad4a-91b0db7cfaa3', '146026fc-f411-44e1-b36a-972fc01bcd18'),
('b2ac383c-a2f8-417a-80f2-dfb02730912d', 'e59a56cb-14fb-499f-b91d-ad682ad31942', 'acd4de7f-5436-4ccd-84ac-1a1cee7963ae', '1259a831-7e51-4de4-aac9-79166c0a3e3b'),
('e9b6152e-accd-4ddd-bfab-d4f097fc3eb0', 'd832bc93-158f-448d-8ed3-26af4b07b46d', 'f9085860-9e9a-4ca2-9cf5-8ad319ae09e0', '2e170d29-5e3d-478b-b411-ed18ee6bdedd'),
('5f8e58fd-888c-46be-80a4-1a29b5cc8986', '6962acec-946e-4af9-9a49-af544138267c', '07b3d09a-cebe-4b42-8912-e77608e45e35', 'c3404050-26fd-44b4-9f26-0628220f6879'),
('37f39122-372a-46fd-b417-6074ba0e7ab1', '13222320-a059-4635-ba00-9291de9e1846', '358882eb-f79a-4f10-9871-fb23b0d360c9', '9f5f12e8-edd0-474a-a971-0c1026cb7948'),
('34bb401d-c2a0-4b33-a652-e5664470fcf8', 'ecb6b561-7562-4b3b-8246-0e59c53f5d6c', 'f238c9fd-b547-46cd-9920-fcbd1413e9c0', '2704c47c-1399-4822-b830-96971b029086'),
('62d1f924-ff05-4027-81a7-c0089e82b39d', '0bd06ff7-2ef0-463e-af87-9fb3d1f350a2', 'a72dbd5f-9dbb-4acd-b7a8-50ee7a2c53ad', '88432ea8-f10c-49ee-97f6-b1da02b5b6c2'),
('8039660e-a666-4d73-9648-ba5a35601418', 'becf9a0c-1296-42cf-a67a-358c008bec2e', '3783d638-904d-4d6d-94ae-a6ea64882458', '3475c1f5-fa29-41f7-bd04-22f5c0782c6c'),
('f14898c3-405f-4c31-accd-86fb6da36a80', 'aab0dafe-2eaa-4079-83de-686723a55b30', '706e78ac-9a97-4450-9def-ed87874aa9d7', '5c79ced5-5fdf-482c-831f-9dba016ceb1a'),
('dd117f8c-519d-4bdf-8b5e-358c2ebb01a1', '297b23ee-0744-495d-8f3d-29ccd0f56136', 'dfc6e283-3a95-45e5-bde7-e40a14e3cc8e', 'ca7f13c4-d502-43aa-a7b8-dce67dc67b87'),
('e555e12d-d9c5-4fd6-a514-e1cdad2221d9', '062a4e35-be3a-484e-89e1-334b81f42896', '81181e93-9470-41c0-9f0b-d46189243231', 'ff3a7ec1-152b-4157-8314-a9c19708880c'),
('e0d033da-84b1-4008-aa9f-b6cb4fc9b6f5', '45b1a512-721c-4e80-b8b0-2df89d50ace9', '3e758b77-530e-4304-ba97-bd7732dcdbfc', 'd105c84b-62ad-4407-b61b-847446ef4fe5'),
('adbb82db-04e5-488d-a15c-176f2eb44c19', '841bff47-b41c-4677-9659-5ae1f7d5566c', '001dd027-4552-4152-9b2b-8949802dd8a7', 'b81872a1-7318-43a3-92ed-a891befe4534'),
('554e4aae-a089-49df-8036-2c894dd7b7d7', '50f517f2-da75-40d2-9271-f68f8b42b592', '2edd408c-60ac-450a-a1fb-3f2fa8af3cc6', 'ab3e3164-a700-4e07-b509-be2f0df7fb89'),
('ab29f38a-94a0-4600-9696-1ab3fc05fe3c', '232ea586-2f7d-4064-bb38-b32144af6e1c', '0c2b1d8b-da25-4a5b-99cd-db06fc9bbfed', '98e3890a-7dc4-46cb-bf4d-b406ead13c48'),
('e615207b-beb0-4dde-91a4-37b4e1dda811', 'f50a7f94-b083-4c34-a9a5-28be0285f090', '2840b244-6ee4-46e0-bf25-e95df98ba9ea', 'e0de0d3a-04c2-4870-a417-a72b21d5ce6b'),
('5e08a986-217b-43e2-be9c-223cb9324216', 'ab22dede-9296-4353-92eb-a56e8947b962', 'd32f2d1b-1b56-4efc-ad6c-dcab3f024b34', '0e3b27f9-cdbc-465c-ab64-ecbb4eac53af'),
('6554ae67-c889-4880-9b54-e56ff59eddda', '92c6bed2-ad0b-4659-8172-3a13e36bb903', 'b31af073-d3c8-400c-986d-8c9d0e8da677', '149d42d3-edfd-47ba-bf8b-4089a22fafdf'),
('a5608d10-afe1-4996-9358-4e7488215a2c', 'b3bed348-ef4e-4e52-bd1c-83c2767bcbce', '8df7309d-d4fa-446e-ba2c-99ae7958bc3c', '00b5c88b-c93f-4425-8f35-5c820764182d'),
('bcea0a54-f5dd-48b3-9365-ecb9dcbc2982', '4867aa0c-b7b9-4284-bb3c-07efdc25d61e', 'de7997df-1d06-4fae-9df4-ab4c6d0dcbbf', 'b12101d9-6929-4079-84bb-1ec65164593d'),
('3620205d-d98c-4a92-b25f-c7dd2aa9f432', '36609301-e414-40ad-a03e-ddee3ca26ee7', '906dc628-3cd5-4028-8d62-4d6bb279e1f1', '13210c25-9672-403f-965d-d428ba5d1413'),
('2aee1530-a2fb-475e-8c5b-c400a73b7f08', '53d9fdf0-8868-466b-9bf9-9272a584512d', '0905235a-b125-4075-9a7a-3059c3927749', '37ff8397-5efe-4782-84be-15d4996d9b08'),
